Site,Date,Turbidity,Temp,DO,SPC,pH,Cl,Prev_rain_cm,Rain_cm,E_coli_MPN,Total_Coliforms,Flow_min,Flow_mean,Flow_max,Max_Min,Site_Name,Coordinates,lat,lon,Mean,Median,Min,Max,,Site_Name,Turbidity,Temp,DO,SPC,pH,,Site_Name,Percent_Exceedance,,Km
Elm Grove Park,2020.01.14,8.195,6.5,12.66,327.3,7.97,,0,0.00254,,,445,553,779,334,,,,,,,,,,,,,,,,,,,,
Junior Ave,2020.01.14,7.365,6.2,13.6,409,7.99,,0,0.00254,,,445,553,779,334,,,,,,,,,,,,,,,,,,,,
Washington Ave,2020.01.14,6.8375,6.3,13.27,,8.03,,0,0.00254,,,445,553,779,334,,,,,,,,,,,,,,,,,,,,
Kroger,2020.01.14,13.875,6.5,12.73,415.1,8.09,,0,0.00254,,,445,553,779,334,,,,,,,,,,,,,,,,,,,,
Fulton,2020.01.14,7.6825,6.4,13.38,439.4,8.06,,0,0.00254,,,445,553,779,334,,,,,,,,,,,,,,,,,,,,
Tunnel Green,2020.01.14,9.9925,6.2,12.19,434.7,8.01,,0,0.00254,,,445,553,779,334,,,,,,,,,,,,,,,,,,,,
Mouth,2020.01.14,13.095,5.8,11.28,449.3,7.96,,0,0.00254,,,445,553,779,334,,,,,,,,,,,,,,,,,,,,
Ranch Bar,2020.01.21,20.85,1.8,14.29,356.2,7.5,,0.00254,0,134,3448,321,902,2440,2119,,,,,,,,,,,,,,,,,,,,
Cricket Hollow,2020.01.21,15.375,1.8,14.58,345.9,7.55,,0.00254,0,84,2613,321,902,2440,2119,,,,,,,,,,,,,,,,,,,,
Grandstaff Run,2020.01.21,12.525,1.9,14.56,328.4,7.63,,0.00254,0,122,2909,321,902,2440,2119,,,,,,,,,,,,,,,,,,,,
Britt's Run,2020.01.21,17.175,1.7,14.43,356.8,7.67,,0.00254,0,96,2755,321,902,2440,2119,,,,,,,,,,,,,,,,,,,,
County Line Bridge,2020.01.21,17.675,1.7,14.57,353.3,7.73,,0.00254,0,86,3076,321,902,2440,2119,,,,,,,,,,,,,,,,,,,,
Elm Grove Park,2020.01.21,17.8675,1.9,14.43,353.7,7.81,,0.00254,0,122,2098,321,902,2440,2119,,,,,,,,,,,,,,,,,,,,
Junior Ave,2020.01.21,17.35,1.8,14.63,357,7.77,,0.00254,0,98,2489,321,902,2440,2119,,,,,,,,,,,,,,,,,,,,
Washington Ave,2020.01.21,15.775,1.8,14.66,360,7.86,,0.00254,0,933,2755,321,902,2440,2119,,,,,,,,,,,,,,,,,,,,
Kroger,2020.01.21,37.975,1.9,13.8,368.3,7.96,,0.00254,0,288,1918,321,902,2440,2119,,,,,,,,,,,,,,,,,,,,
Fulton,2020.01.21,22.725,1.8,14.26,379.3,7.96,,0.00254,0,86,2909,321,902,2440,2119,,,,,,,,,,,,,,,,,,,,
Tunnel Green,2020.01.21,17.675,1.6,14.29,371.3,7.88,,0.00254,0,1014,5475,321,902,2440,2119,,,,,,,,,,,,,,,,,,,,
Mouth,2020.01.21,46.725,1.4,14.2,370.2,7.85,,0.00254,0,432,4611,321,902,2440,2119,,,,,,,,,,,,,,,,,,,,
Ranch Bar,2020.01.28,19.375,4.4,13.1,350.7,7.62,,0.00254,0.00254,,,327,1276,5430,5103,,,,,,,,,,,,,,,,,,,,
Cricket Hollow,2020.01.28,17.425,4.4,13.18,349.9,7.51,,0.00254,0.00254,,,327,1276,5430,5103,,,,,,,,,,,,,,,,,,,,
Grandstaff Run,2020.01.28,48.3,4,13.35,282.2,7.61,,0.00254,0.00254,,,327,1276,5430,5103,,,,,,,,,,,,,,,,,,,,
Britt's Run,2020.01.28,12.7,4.4,12.81,328.8,7.57,,0.00254,0.00254,,,327,1276,5430,5103,,,,,,,,,,,,,,,,,,,,
County Line Bridge,2020.01.28,25.25,4.3,12.83,347.2,7.66,,0.00254,0.00254,,,327,1276,5430,5103,,,,,,,,,,,,,,,,,,,,
Elm Grove Park,2020.01.28,23.925,4.3,12.83,347.2,7.66,,0.00254,0.00254,,,327,1276,5430,5103,,,,,,,,,,,,,,,,,,,,
Junior Ave,2020.01.28,20.05,4.3,13,350.5,7.7,,0.00254,0.00254,,,327,1276,5430,5103,,,,,,,,,,,,,,,,,,,,
Washington Ave,2020.01.28,19.825,4.3,13.05,280,7.74,,0.00254,0.00254,,,327,1276,5430,5103,,,,,,,,,,,,,,,,,,,,
Kroger,2020.01.28,43.45,4.3,12.27,353.8,7.89,,0.00254,0.00254,,,327,1276,5430,5103,,,,,,,,,,,,,,,,,,,,
Fulton,2020.01.28,34.85,4.3,12.33,377.5,7.88,,0.00254,0.00254,,,327,1276,5430,5103,,,,,,,,,,,,,,,,,,,,
Tunnel Green,2020.01.28,22.45,4.2,12.35,369.5,7.77,,0.00254,0.00254,,,327,1276,5430,5103,,,,,,,,,,,,,,,,,,,,
Mouth,2020.01.28,30.05,4.2,12.51,362.3,7.78,,0.00254,0.00254,,,327,1276,5430,5103,,,,,,,,,,,,,,,,,,,,
Ranch Bar,2020.02.04,5.6,7.1,11.53,413.7,7.5,,0,0.5588,0,457,572,714,971,399,,,,,,,,,,,,,,,,,,,,
Cricket Hollow,2020.02.04,5.5625,7.2,11.83,414.9,7.62,,0,0.5588,10,521,572,714,971,399,,,,,,,,,,,,,,,,,,,,
Grandstaff Run,2020.02.04,20.875,6.1,11.77,360.6,7.73,,0,0.5588,31,455,572,714,971,399,,,,,,,,,,,,,,,,,,,,
Britt's Run,2020.02.04,6.5625,7.2,11.73,410.3,7.79,,0,0.5588,10,399,572,714,971,399,,,,,,,,,,,,,,,,,,,,
County Line Bridge,2020.02.04,6.92,7.3,11.88,376.3,7.84,,0,0.5588,10,512,572,714,971,399,,,,,,,,,,,,,,,,,,,,
Elm Grove Park,2020.02.04,6.635,7.5,11.85,410.6,7.91,,0,0.5588,10,733,572,714,971,399,,,,,,,,,,,,,,,,,,,,
Junior Ave,2020.02.04,7.8275,7.5,11.85,415.1,7.92,,0,0.5588,41,691,572,714,971,399,,,,,,,,,,,,,,,,,,,,
Washington Ave,2020.02.04,5.9575,7.6,11.67,436.8,7.98,,0,0.5588,282,1112,572,714,971,399,,,,,,,,,,,,,,,,,,,,
Kroger,2020.02.04,15.15,7.7,11.32,463.4,7.97,,0,0.5588,97,1515,572,714,971,399,,,,,,,,,,,,,,,,,,,,
Fulton,2020.02.04,12.425,7.7,11.05,455.8,8.03,,0,0.5588,226,4884,572,714,971,399,,,,,,,,,,,,,,,,,,,,
Tunnel Green,2020.02.04,8.6525,7.6,11.56,451.4,7.98,,0,0.5588,738,2187,572,714,971,399,,,,,,,,,,,,,,,,,,,,
Mouth,2020.02.04,11.7,7.7,9.68,462,7.86,,0,0.5588,529,1935,572,714,971,399,,,,,,,,,,,,,,,,,,,,
Ranch Bar,2020.02.11,78.2,6.2,12.33,217.3,7.12,,0.6858,0.0508,,,707,1424,4170,3463,,,,,,,,,,,,,,,,,,,,
Cricket Hollow,2020.02.11,83.95,6.2,11.92,220.2,7.21,,0.6858,0.0508,,,707,1424,4170,3463,,,,,,,,,,,,,,,,,,,,
Grandstaff Run,2020.02.11,39.4,5.8,12.26,267.6,7.29,,0.6858,0.0508,,,707,1424,4170,3463,,,,,,,,,,,,,,,,,,,,
Britt's Run,2020.02.11,77.875,6.2,11.48,222.7,7.43,,0.6858,0.0508,,,707,1424,4170,3463,,,,,,,,,,,,,,,,,,,,
County Line Bridge,2020.02.11,109.75,6.2,11.89,224.8,7.43,,0.6858,0.0508,,,707,1424,4170,3463,,,,,,,,,,,,,,,,,,,,
Elm Grove Park,2020.02.11,138.5,6.2,12.03,219.3,7.43,,0.6858,0.0508,,,707,1424,4170,3463,,,,,,,,,,,,,,,,,,,,
Junior Ave,2020.02.11,117,6.2,12.03,221.1,7.47,,0.6858,0.0508,,,707,1424,4170,3463,,,,,,,,,,,,,,,,,,,,
Washington Ave,2020.02.11,104.25,6.2,11.92,233.6,7.4,,0.6858,0.0508,,,707,1424,4170,3463,,,,,,,,,,,,,,,,,,,,
Kroger,2020.02.11,108.5,6.2,12.3,229.2,7.51,,0.6858,0.0508,,,707,1424,4170,3463,,,,,,,,,,,,,,,,,,,,
Fulton,2020.02.11,106,6.2,12,250,7.55,,0.6858,0.0508,,,707,1424,4170,3463,,,,,,,,,,,,,,,,,,,,
Tunnel Green,2020.02.11,84.575,6.2,10.76,244.3,7.62,,0.6858,0.0508,,,707,1424,4170,3463,,,,,,,,,,,,,,,,,,,,
Mouth,2020.02.11,99.375,6.1,10.76,244.3,7.62,,0.6858,0.0508,,,707,1424,4170,3463,,,,,,,,,,,,,,,,,,,,
Ranch Bar,2020.02.18,12.6,5.5,12.81,373.9,7.43,,0.127,0,,,947,2501,5430,4483,,,,,,,,,,,,,,,,,,,,
Cricket Hollow,2020.02.18,12.275,5.4,13.68,372.7,7.5,,0.127,0,,,947,2501,5430,4483,,,,,,,,,,,,,,,,,,,,
Grandstaff Run,2020.02.18,26.625,4.9,13.99,311.6,7.58,,0.127,0,,,947,2501,5430,4483,,,,,,,,,,,,,,,,,,,,
Britt's Run,2020.02.18,13.05,5.4,13.7,372.4,7.65,,0.127,0,,,947,2501,5430,4483,,,,,,,,,,,,,,,,,,,,
County Line Bridge,2020.02.18,12.6,5.4,13.49,321.9,7.72,,0.127,0,,,947,2501,5430,4483,,,,,,,,,,,,,,,,,,,,
Elm Grove Park,2020.02.18,15.475,5.4,13.33,369.9,7.73,,0.127,0,,,947,2501,5430,4483,,,,,,,,,,,,,,,,,,,,
Junior Ave,2020.02.18,24.35,5.5,13.05,405.4,7.81,,0.127,0,,,947,2501,5430,4483,,,,,,,,,,,,,,,,,,,,
Washington Ave,2020.02.18,17.45,5.7,13.17,435.6,7.82,,0.127,0,,,947,2501,5430,4483,,,,,,,,,,,,,,,,,,,,
Kroger,2020.02.18,28.075,5.8,12.45,453.1,7.87,,0.127,0,,,947,2501,5430,4483,,,,,,,,,,,,,,,,,,,,
Fulton,2020.02.18,57.5,5.8,12.96,446.1,7.89,,0.127,0,,,947,2501,5430,4483,,,,,,,,,,,,,,,,,,,,
Tunnel Green,2020.02.18,28.725,5.6,13.12,420.8,7.92,,0.127,0,,,947,2501,5430,4483,,,,,,,,,,,,,,,,,,,,
Mouth,2020.02.18,17,5.2,13.33,411.4,7.82,,0.127,0,,,947,2501,5430,4483,,,,,,,,,,,,,,,,,,,,
Ranch Bar,2020.02.25,7.5025,4.9,12.91,416.6,7.54,,0.3302,0.889,10,269,327,485,768,441,,,,,,,,,,,,,,,,,,,,
Cricket Hollow,2020.02.25,4.785,4.9,13.23,416.5,7.84,,0.3302,0.889,9.5,259,327,485,768,441,,,,,,,,,,,,,,,,,,,,
Grandstaff Run,2020.02.25,12.85,5,13.01,402.8,7.85,,0.3302,0.889,10,345,327,485,768,441,,,,,,,,,,,,,,,,,,,,
Britt's Run,2020.02.25,7.0325,5.2,12.39,416.6,7.89,,0.3302,0.889,41,388,327,485,768,441,,,,,,,,,,,,,,,,,,,,
County Line Bridge,2020.02.25,6.515,5.2,11.9,404.5,7.92,,0.3302,0.889,9.5,216,327,485,768,441,,,,,,,,,,,,,,,,,,,,
Elm Grove Park,2020.02.25,6.07,5.4,12.57,411.5,7.94,,0.3302,0.889,9.5,318,327,485,768,441,,,,,,,,,,,,,,,,,,,,
Junior Ave,2020.02.25,5.41,5.4,11.75,413,8.02,,0.3302,0.889,73,2046,327,485,768,441,,,,,,,,,,,,,,,,,,,,
Washington Ave,2020.02.25,6.12,5.6,12.25,436.7,8.04,,0.3302,0.889,1722,2247,327,485,768,441,,,,,,,,,,,,,,,,,,,,
Kroger,2020.02.25,11.1275,5.9,11.79,456.8,8.06,,0.3302,0.889,1081,1664,327,485,768,441,,,,,,,,,,,,,,,,,,,,
Fulton,2020.02.25,369.25,5.8,11.89,455.1,8.07,,0.3302,0.889,1145,1989,327,485,768,441,,,,,,,,,,,,,,,,,,,,
Tunnel Green,2020.02.25,18.4425,5.7,11.25,452.7,8.07,,0.3302,0.889,1076,2603,327,485,768,441,,,,,,,,,,,,,,,,,,,,
Mouth,2020.02.25,17.95,5.5,12.08,456.3,8.03,,0.3302,0.889,1246,4352,327,485,768,441,,,,,,,,,,,,,,,,,,,,
Ranch Bar,2020.03.03,25.775,6.1,13.88,370.1,7.57,,1.0414,0.00254,,,355,531,862,507,,,,,,,,,,,,,,,,,,,,
Cricket Hollow,2020.03.03,40.8,6.3,13.04,360.5,7.66,,1.0414,0.00254,,,355,531,862,507,,,,,,,,,,,,,,,,,,,,
Grandstaff Run,2020.03.03,41.05,4.9,13.83,331.2,7.78,,1.0414,0.00254,,,355,531,862,507,,,,,,,,,,,,,,,,,,,,
Britt's Run,2020.03.03,71.475,7.1,11.97,293.5,7.75,,1.0414,0.00254,,,355,531,862,507,,,,,,,,,,,,,,,,,,,,
County Line Bridge,2020.03.03,38.25,6.6,13.01,283.2,7.83,,1.0414,0.00254,,,355,531,862,507,,,,,,,,,,,,,,,,,,,,
Elm Grove Park,2020.03.03,27.675,6.6,12.45,374.5,7.88,,1.0414,0.00254,,,355,531,862,507,,,,,,,,,,,,,,,,,,,,
Junior Ave,2020.03.03,33.075,6.6,12.26,384.8,7.88,,1.0414,0.00254,,,355,531,862,507,,,,,,,,,,,,,,,,,,,,
Washington Ave,2020.03.03,46.675,6.9,12.3,436.6,7.91,,1.0414,0.00254,,,355,531,862,507,,,,,,,,,,,,,,,,,,,,
Kroger,2020.03.03,49.95,6.9,12.3,436.6,7.91,,1.0414,0.00254,,,355,531,862,507,,,,,,,,,,,,,,,,,,,,
Fulton,2020.03.03,43.425,7.1,12.18,440.3,8,,1.0414,0.00254,,,355,531,862,507,,,,,,,,,,,,,,,,,,,,
Tunnel Green,2020.03.03,37.8,7,12.37,439.7,8.03,,1.0414,0.00254,,,355,531,862,507,,,,,,,,,,,,,,,,,,,,
Mouth,2020.03.03,35.675,6.6,12.68,453.3,8.01,,1.0414,0.00254,,,355,531,862,507,,,,,,,,,,,,,,,,,,,,
Ranch Bar,2020.03.17,12.35,6.9,12.87,320.4,7.53,,0.0508,2.286,52,359,377,543,919,542,,,,,,,,,,,,,,,,,,,,
Cricket Hollow,2020.03.17,12.6,6.9,12.98,317.3,7.54,,0.0508,2.286,109,480,377,543,919,542,,,,,,,,,,,,,,,,,,,,
Grandstaff Run,2020.03.17,13.675,6.9,12.86,316.6,7.65,,0.0508,2.286,41,428,377,543,919,542,,,,,,,,,,,,,,,,,,,,
Britt's Run,2020.03.17,17.625,6.9,12.33,323.3,7.73,,0.0508,2.286,74,644,377,543,919,542,,,,,,,,,,,,,,,,,,,,
County Line Bridge,2020.03.17,13.625,6.9,12.94,302.8,7.77,,0.0508,2.286,41,771,377,543,919,542,,,,,,,,,,,,,,,,,,,,
Elm Grove Park,2020.03.17,10.65,6.9,13.33,322,7.82,,0.0508,2.286,31,909,377,543,919,542,,,,,,,,,,,,,,,,,,,,
Junior Ave,2020.03.17,12.675,6.9,12.94,325.7,7.87,,0.0508,2.286,97,987,377,543,919,542,,,,,,,,,,,,,,,,,,,,
Washington Ave,2020.03.17,10.675,6.9,13.18,323.7,7.89,,0.0508,2.286,9208,9804,377,543,919,542,,,,,,,,,,,,,,,,,,,,
Kroger,2020.03.17,13.2,7,11.79,348.2,7.89,,0.0508,2.286,1189,2247,377,543,919,542,,,,,,,,,,,,,,,,,,,,
Fulton,2020.03.17,11.75,7,12.95,356.9,7.95,,0.0508,2.286,1664,3076,377,543,919,542,,,,,,,,,,,,,,,,,,,,
Tunnel Green,2020.03.17,12.1,7,13.14,356,7.93,,0.0508,2.286,355,1178,377,543,919,542,,,,,,,,,,,,,,,,,,,,
Mouth,2020.03.17,16.025,6.9,12.71,356.2,7.95,,0.0508,2.286,120,820,377,543,919,542,,,,,,,,,,,,,,,,,,,,
Ranch Bar,2020.03.24,18.55,8.1,12.63,339.4,7.34,5.89,,,,,806,1769,3930,3124,,,,,,,,,,,,,,,,,,,,
Cricket Hollow,2020.03.24,17.3,8.2,11.83,340.6,7.53,7.48,,,,,806,1769,3930,3124,,,,,,,,,,,,,,,,,,,,
Grandstaff Run,2020.03.24,16.3,8.4,12.32,290.2,7.68,5.79,,,,,806,1769,3930,3124,,,,,,,,,,,,,,,,,,,,
Britt's Run,2020.03.24,15.1,8.2,11.62,336.1,7.69,7.9,,,,,806,1769,3930,3124,,,,,,,,,,,,,,,,,,,,
County Line Bridge,2020.03.24,24.75,8.2,12.1,325,7.74,7.87,,,,,806,1769,3930,3124,,,,,,,,,,,,,,,,,,,,
Elm Grove Park,2020.03.24,18.775,8.3,12.07,345.8,7.78,8.15,,,,,806,1769,3930,3124,,,,,,,,,,,,,,,,,,,,
Junior Ave,2020.03.24,17.3,8.3,12.08,349.6,7.84,9.01,,,,,806,1769,3930,3124,,,,,,,,,,,,,,,,,,,,
Washington Ave,2020.03.24,18.85,8.2,12.21,350.2,7.83,10.66,,,,,806,1769,3930,3124,,,,,,,,,,,,,,,,,,,,
Kroger,2020.03.24,17.4,8.3,10.76,296.3,7.88,13.09,,,,,806,1769,3930,3124,,,,,,,,,,,,,,,,,,,,
Fulton,2020.03.24,16.85,8.2,12.21,367.9,7.86,11.24,,,,,806,1769,3930,3124,,,,,,,,,,,,,,,,,,,,
Tunnel Green,2020.03.24,17.725,8.2,11.73,369.3,7.88,12.33,,,,,806,1769,3930,3124,,,,,,,,,,,,,,,,,,,,
Mouth,2020.03.24,18.8425,8,12.99,368.7,7.84,11.86,,,,,806,1769,3930,3124,,,,,,,,,,,,,,,,,,,,
Ranch Bar,2020.03.31,7.91,10.9,10.61,338.4,8.49,2.13,,,171,228,574,1380,8160,7586,,,,,,,,,,,,,,,,,,,,
Cricket Hollow,2020.03.31,10.7,10.8,10.89,337.2,8.29,5.02,,,95,345,574,1380,8160,7586,,,,,,,,,,,,,,,,,,,,
Grandstaff Run,2020.03.31,8.1,10.8,10.51,331.9,8.36,5.07,,,121,1153,574,1380,8160,7586,,,,,,,,,,,,,,,,,,,,
Britt's Run,2020.03.31,8.445,9.5,4.7,313.2,8.13,7.27,,,86,1515,574,1380,8160,7586,,,,,,,,,,,,,,,,,,,,
County Line Bridge,2020.03.31,11.75,10.7,10.85,334.1,8.04,9.5,,,120,1935,574,1380,8160,7586,,,,,,,,,,,,,,,,,,,,
Elm Grove Park,2020.03.31,10.085,10.9,10.53,329,8.1,9.03,,,98,2187,574,1380,8160,7586,,,,,,,,,,,,,,,,,,,,
Junior Ave,2020.03.31,11.9,10.9,10.83,336.6,8.17,9.53,,,132,3076,574,1380,8160,7586,,,,,,,,,,,,,,,,,,,,
Washington Ave,2020.03.31,15.95,10.5,10.73,348.7,8.16,12.99,,,1565,3873,574,1380,8160,7586,,,,,,,,,,,,,,,,,,,,
Kroger,2020.03.31,11.8,10.6,9.63,363.1,8.16,16.44,,,1585,3448,574,1380,8160,7586,,,,,,,,,,,,,,,,,,,,
Fulton,2020.03.31,20.3,10.4,10.39,362.4,8.17,15.72,,,1019,4884,574,1380,8160,7586,,,,,,,,,,,,,,,,,,,,
Tunnel Green,2020.03.31,13.75,10.5,9.71,362.3,8.19,15.56,,,457,3654,574,1380,8160,7586,,,,,,,,,,,,,,,,,,,,
Mouth,2020.03.31,29.35,10.3,10.1,362,8.15,15.66,,,1223,4352,574,1380,8160,7586,,,,,,,,,,,,,,,,,,,,
Ranch Bar,2020.04.14,72.75,10.2,11.13,259.6,7.36,3.36,,,1296,12997,612,1449,2420,1808,,,,,,,,,,,,,,,,,,,,
Cricket Hollow,2020.04.14,60.55,10.2,10.8,261,7.47,4.44,,,960,17329,612,1449,2420,1808,,,,,,,,,,,,,,,,,,,,
Grandstaff Run,2020.04.14,29.85,10.1,11.2,260,7.58,4.31,,,910,17329,612,1449,2420,1808,,,,,,,,,,,,,,,,,,,,
Britt's Run,2020.04.14,57.675,10.4,10.87,263.4,7.66,5.1,,,1439,12997,612,1449,2420,1808,,,,,,,,,,,,,,,,,,,,
County Line Bridge,2020.04.14,64.075,10.5,10.8,251.4,7.73,5.82,,,1046,17329,612,1449,2420,1808,,,,,,,,,,,,,,,,,,,,
Elm Grove Park,2020.04.14,67,10.6,11.15,262.6,7.7,5.06,,,1145,15531,612,1449,2420,1808,,,,,,,,,,,,,,,,,,,,
Junior Ave,2020.04.14,66.75,10.6,10.96,263.9,7.74,5.19,,,1565,15531,612,1449,2420,1808,,,,,,,,,,,,,,,,,,,,
Washington Ave,2020.04.14,60.775,10.5,11.08,275.3,7.79,6.31,,,1014,12033,612,1449,2420,1808,,,,,,,,,,,,,,,,,,,,
Kroger,2020.04.14,63.85,10.4,11,275.9,7.81,6.64,,,1046,15531,612,1449,2420,1808,,,,,,,,,,,,,,,,,,,,
Fulton,2020.04.14,61.5,10.4,11,280.7,7.86,7.34,,,1081,14136,612,1449,2420,1808,,,,,,,,,,,,,,,,,,,,
Tunnel Green,2020.04.14,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,
Mouth,2020.04.14,62.55,10.3,10.9,280.6,7.88,7.96,,,1421,17329,612,1449,2420,1808,,,,,,,,,,,,,,,,,,,,
Ranch Bar,2020.04.28,29.125,11.8,9.61,258.2,7.5,6.7,0.1524,3.5866,410,6488,660,1128,2720,2060,,,,,,,,,,,,,,,,,,,,
Cricket Hollow,2020.04.28,25.1,11.9,9.43,263.4,7.5,6.22,0.1524,3.5866,414,3448,660,1128,2720,2060,,,,,,,,,,,,,,,,,,,,
Grandstaff Run,2020.04.28,23.25,12.2,10.52,246.2,7.78,5.93,0.1524,3.5866,529,6867,660,1128,2720,2060,,,,,,,,,,,,,,,,,,,,
Britt's Run,2020.04.28,29.225,11.9,9.7,256.9,7.63,6.78,0.1524,3.5866,538,5475,660,1128,2720,2060,,,,,,,,,,,,,,,,,,,,
County Line Bridge,2020.04.28,27.85,12.2,10.19,256.6,7.79,6.74,0.1524,3.5866,292,5794,660,1128,2720,2060,,,,,,,,,,,,,,,,,,,,
Elm Grove Park,2020.04.28,28.7,12.2,10.05,253.4,7.81,6.78,0.1524,3.5866,379,3873,660,1128,2720,2060,,,,,,,,,,,,,,,,,,,,
Junior Ave,2020.04.28,29.375,12.3,10.19,255.8,7.85,7.25,0.1524,3.5866,443,4611,660,1128,2720,2060,,,,,,,,,,,,,,,,,,,,
Washington Ave,2020.04.28,26.05,12.3,10.38,268.9,7.87,8.77,0.1524,3.5866,5475,10462,660,1128,2720,2060,,,,,,,,,,,,,,,,,,,,
Kroger,2020.04.28,28.5,12.2,10.36,269.2,7.87,8.67,0.1524,3.5866,328,6488,660,1128,2720,2060,,,,,,,,,,,,,,,,,,,,
Fulton,2020.04.28,30.925,12.3,10.39,275.7,7.87,8.72,0.1524,3.5866,404,3076,660,1128,2720,2060,,,,,,,,,,,,,,,,,,,,
Tunnel Green,2020.04.28,32.75,12.2,10.39,274.8,7.9,10.02,0.1524,3.5866,538,4106,660,1128,2720,2060,,,,,,,,,,,,,,,,,,,,
Mouth,2020.04.28,29.45,11.9,9.94,272.9,7.87,10.5,0.1524,3.5866,609,4884,660,1128,2720,2060,,,,,,,,,,,,,,,,,,,,
Ranch Bar,2020.05.05,10.69,13.3,9.87,335.3,7.69,6.48,0.3556,0.1778,,,931,1573,2600,1669,,,,,,,,,,,,,,,,,,,,
Cricket Hollow,2020.05.05,7.3275,13.1,10.11,330.2,7.83,5.54,0.3556,0.1778,,,931,1573,2600,1669,,,,,,,,,,,,,,,,,,,,
Grandstaff Run,2020.05.05,11.25,14,9.99,293.7,8.21,4.7,0.3556,0.1778,,,931,1573,2600,1669,,,,,,,,,,,,,,,,,,,,
Britt's Run,2020.05.05,18.45,13.3,10.87,327.5,8.27,7.35,0.3556,0.1778,,,931,1573,2600,1669,,,,,,,,,,,,,,,,,,,,
County Line Bridge,2020.05.05,7.895,13.2,10.82,327.9,8.37,8.68,0.3556,0.1778,,,931,1573,2600,1669,,,,,,,,,,,,,,,,,,,,
Elm Grove Park,2020.05.05,7.3275,13.4,10.97,327.3,8.43,8.51,0.3556,0.1778,,,931,1573,2600,1669,,,,,,,,,,,,,,,,,,,,
Junior Ave,2020.05.05,6.215,13.3,11.17,329.4,8.46,9.24,0.3556,0.1778,,,931,1573,2600,1669,,,,,,,,,,,,,,,,,,,,
Washington Ave,2020.05.05,6.415,12.9,11.35,340.8,8.44,10.53,0.3556,0.1778,,,931,1573,2600,1669,,,,,,,,,,,,,,,,,,,,
Kroger,2020.05.05,7.1725,12.9,10.5,349.4,8.46,13.37,0.3556,0.1778,,,931,1573,2600,1669,,,,,,,,,,,,,,,,,,,,
Fulton,2020.05.05,6.83,12.8,10.91,350.6,8.47,12.72,0.3556,0.1778,,,931,1573,2600,1669,,,,,,,,,,,,,,,,,,,,
Tunnel Green,2020.05.05,6.5925,12.7,9.87,353.1,8.45,14.84,0.3556,0.1778,,,931,1573,2600,1669,,,,,,,,,,,,,,,,,,,,
Mouth,2020.05.05,12.125,12.7,9.74,357.7,8.27,13.62,0.3556,0.1778,,,931,1573,2600,1669,,,,,,,,,,,,,,,,,,,,
Ranch Bar,2020.05.12,8.185,11.5,12.48,327.9,8.37,8.45,0,0,10,269,850,640,1210,360,,,,,,,,,,,,,,,,,,,,
Cricket Hollow,2020.05.12,7.395,11,13.67,328.8,8.41,11.4,0,0,10,301,850,640,1210,360,,,,,,,,,,,,,,,,,,,,
Grandstaff Run,2020.05.12,7.875,11.2,13.2,306.9,8.45,9.15,0,0,20,201,850,640,1210,360,,,,,,,,,,,,,,,,,,,,
Britt's Run,2020.05.12,8.525,11.4,13.35,326.9,8.54,13.36,0,0,9.5,1553,850,640,1210,360,,,,,,,,,,,,,,,,,,,,
County Line Bridge,2020.05.12,6.4875,11.7,13.06,329.6,8.56,17.32,0,0,20,369,850,640,1210,360,,,,,,,,,,,,,,,,,,,,
Elm Grove Park,2020.05.12,7.6625,11.8,13.53,329.6,8.56,17.32,0,0,9.5,496,850,640,1210,360,,,,,,,,,,,,,,,,,,,,
Junior Ave,2020.05.12,7.8025,11.8,13.53,323.2,8.61,13.06,0,0,10,836,850,640,1210,360,,,,,,,,,,,,,,,,,,,,
Washington Ave,2020.05.12,5.9325,11.9,13.29,339.9,8.72,18.03,0,0,134,609,850,640,1210,360,,,,,,,,,,,,,,,,,,,,
Kroger,2020.05.12,7.1125,11.7,12.47,343.9,8.77,21.06,0,0,20,565,850,640,1210,360,,,,,,,,,,,,,,,,,,,,
Fulton,2020.05.12,6.86,11.7,12.8,346.8,8.81,22.54,0,0,75,538,850,640,1210,360,,,,,,,,,,,,,,,,,,,,
Tunnel Green,2020.05.12,8.755,11.5,12.62,352.1,8.74,22.14,0,0,52,404,850,640,1210,360,,,,,,,,,,,,,,,,,,,,
Mouth,2020.05.12,12.225,10.7,11.86,357.5,8.54,19.89,0,0,31,613,850,640,1210,360,,,,,,,,,,,,,,,,,,,,
Ranch Bar,2020.05.19,14.4,19,7.73,436.4,8.04,8.58,1.5748,0.0254,108,1664,399,521,660,261,,,,,,,,,,,,,,,,,,,,
Cricket Hollow,2020.05.19,10.8,19,9.58,436.3,8.17,10.83,1.5748,0.0254,75,1553,399,521,660,261,,,,,,,,,,,,,,,,,,,,
Grandstaff Run,2020.05.19,9.305,19.1,9.94,371.4,8.35,7.06,1.5748,0.0254,63,908,399,521,660,261,,,,,,,,,,,,,,,,,,,,
Britt's Run,2020.05.19,9.015,18.9,9.74,418.1,8.39,12.34,1.5748,0.0254,63,1401,399,521,660,261,,,,,,,,,,,,,,,,,,,,
County Line Bridge,2020.05.19,8.24,19.8,9.72,417.8,8.49,12.79,1.5748,0.0254,145,2359,399,521,660,261,,,,,,,,,,,,,,,,,,,,
